Eins;un ;1
Zwei;deux;2
Drei;trois;3
Vier;quatre;4
Fünf;cinq;5
Sechs;six;6
Sieben;sept;7
Acht;huit;8
Neun;neuf;9
Zehn;dix;10
Elf;onze;11
Zwölf;douze;12
Dreizehn;treize;13
Vierzehn;quatorze;14
Fünfzehn;quinze;15
Sechzehn;seize;16
Siebzehn;dix-sept;17
Achtzehn;dix-huit;18
Neunzehn;dix-neuf;19
Zwanzig;vingt;20
