Einundzwanzig;vingt-et-un
Zweiundzwanzig;vingt-deux
Dreißig;trente
Einunddreißig;trente et un
Zweiundreißig;trente-deux
Vierzig;quarante
Fünfzig;cinquante
Sechzig;soixante
Siebzig;soixante-dix
Einundsiebzig;soixante-onze
Zweiundsiebzig;soixante-douze
Siebenundsiebzig;soixante-dix-sept
Achtzig;quatre-vingt
Einundachtzig;quatre-vingt-un
Neunzig;quatre-vingt-dix
einundneunzig;quatre-vingt-onze
Siebenundneunzig;quatre-vingt-dix-sept
Einhundert;cent
Zweihundert;deux cents
Eintausend;mille
